Step,2024-08-28 22-04-25,2024-08-28 22-37-02
0,1,0.0199999995529652
1,1,0.0199999995529652
2,1,0.0199999995529652
3,0.519999980926514,0.0199999995529652
4,1,0.819999992847443
5,1,0.860000014305115
6,1,0
7,1,0.0199999995529652
8,1,0.0399999991059303
9,1,0.0199999995529652
10,1,0.0399999991059303
11,1,0.0399999991059303
12,1,0.0399999991059303
13,1,0.0399999991059303
14,1,0.0399999991059303
15,1,0
16,1,0.0599999986588955
17,1,0.0399999991059303
18,1,0.0399999991059303
19,1,0.100000001490116
20,1,0.0399999991059303
21,1,0.0599999986588955
22,1,0.0599999986588955
23,1,0.159999996423721
24,1,0.140000000596046
25,1,0.0799999982118607
26,1,0.0799999982118607
27,1,0.0599999986588955
28,1,0.0399999991059303
29,1,0.0799999982118607
30,1,0.0799999982118607
31,1,0.0599999986588955
32,1,0.0799999982118607
33,1,0.0599999986588955
34,1,0
35,0.819999992847443,0.0399999991059303
36,0.159999996423721,0.0399999991059303
37,0.140000000596046,0.0399999991059303
38,0.0799999982118607,0.0399999991059303
39,0,0.0399999991059303
40,0.140000000596046,0.0199999995529652
41,1,0.0399999991059303
42,1,0
43,1,0
44,1,0.0199999995529652
45,1,0.0399999991059303
46,1,0.0199999995529652
47,1,0.0599999986588955
48,1,0.0199999995529652
49,1,0.0199999995529652
50,1,0
51,1,0.0199999995529652
52,1,0
53,1,0
54,1,0
55,1,0.0199999995529652
56,1,0.140000000596046
57,0.180000007152557,1
58,0.879999995231628,0.200000002980232
59,0.5799999833107,0.0199999995529652
60,1,0.939999997615814
61,1,0.759999990463257
62,1,0
63,1,0.0199999995529652
64,1,0
65,1,0.0199999995529652
66,1,0.0399999991059303
67,1,0.0399999991059303
68,1,0.0399999991059303
69,1,0
70,1,0.0199999995529652
71,1,0.0399999991059303
72,1,0
73,0.519999980926514,0.0199999995529652
74,0.72000002861023,0.0399999991059303
75,1,0.0399999991059303
76,1,0.0599999986588955
77,1,0.0199999995529652
78,1,0.0399999991059303
79,1,0.0199999995529652
80,1,0.0399999991059303
81,1,0.0199999995529652
82,1,0
83,1,0
84,1,0.0199999995529652
85,1,0
86,1,0.100000001490116
87,1,1
88,0.419999986886978,0.239999994635582
89,0.140000000596046,0
90,0,0
91,0.899999976158142,0.319999992847443
92,1,1
93,1,0.819999992847443
94,1,0
95,1,0.660000026226044
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,0.639999985694885,1
105,0.119999997317791,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,0.119999997317791,1
121,0.180000007152557,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,0.219999998807907
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0.660000026226044
133,1,1
134,1,1
135,0.560000002384186,1
136,0,1
137,0.660000026226044,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,0.980000019073486
149,1,0
150,1,0
151,0.560000002384186,0.839999973773956
152,0.360000014305115,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,0.72000002861023
166,1,0
167,0.779999971389771,0.819999992847443
168,0,1
169,0.939999997615814,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
